Year,Month,Day,Concentration,DayOfWeek,Weekend
2009,10,28,13.541666666666666,3,0
2009,10,29,13.521739130434783,4,0
2009,10,30,12.041666666666666,5,0
2009,10,31,18.26086956521739,6,1
2009,11,1,27.833333333333332,0,1
2009,11,2,39.869565217391305,1,0
2009,11,3,41.875,2,0
2009,11,4,47.17391304347826,3,0
2009,11,5,39.791666666666664,4,0
2009,11,6,36.34782608695652,5,0
2009,11,7,34.041666666666664,6,1
2009,11,8,27.217391304347824,0,1
2009,11,9,16.625,1,0
2009,11,10,5.954545454545454,2,0
2009,11,11,27.083333333333332,3,0
2009,11,12,32.21739130434783,4,0
2009,11,13,41.791666666666664,5,0
2009,11,14,57.78260869565217,6,1
2009,11,15,44.75,0,1
2009,11,16,38.69565217391305,1,0
2009,11,17,44.125,2,0
2009,11,18,54.21739130434783,3,0
2009,11,19,49.208333333333336,4,0
2009,11,20,39.56521739130435,5,0
2009,11,21,38.583333333333336,6,1
2009,11,22,64.52173913043478,0,1
2009,11,23,64.04166666666667,1,0
2009,11,24,58.52173913043478,2,0
2009,11,25,61.458333333333336,3,0
2009,11,26,62.34782608695652,4,0
2009,11,27,55.875,5,0
2009,11,28,59.17391304347826,6,1
2009,11,29,58.91304347826087,0,1
2009,11,30,41.541666666666664,1,0
2009,12,1,14.608695652173912,2,0
2009,12,2,34.125,3,0
2009,12,3,49.69565217391305,4,0
2009,12,4,44.291666666666664,5,0
2009,12,5,46.08695652173913,6,1
2009,12,6,48.45454545454545,0,1
2009,12,7,42.17391304347826,1,0
2009,12,8,43.666666666666664,2,0
2009,12,9,33.34782608695652,3,0
2009,12,10,44.0,4,0
2009,12,11,30.956521739130434,5,0
2009,12,12,19.083333333333332,6,1
2009,12,13,26.391304347826086,0,1
2009,12,14,17.958333333333332,1,0
2009,12,15,6.0,2,0
2009,12,16,7.190476190476191,3,0
2009,12,17,20.17391304347826,4,0
2009,12,18,14.458333333333334,5,0
2009,12,19,23.52173913043478,6,1
2009,12,20,45.75,0,1
2009,12,21,47.391304347826086,1,0
2009,12,22,27.583333333333332,2,0
2009,12,23,35.04347826086956,3,0
2009,12,24,28.583333333333332,4,0
2009,12,25,28.52173913043478,5,0
2009,12,26,46.625,6,1
2009,12,27,51.56521739130435,0,1
2009,12,28,33.833333333333336,1,0
2009,12,29,26.652173913043477,2,0
2009,12,30,37.5,3,0
2009,12,31,11.08695652173913,4,0
2010,1,1,40.0625,5,0
2010,1,2,28.08695652173913,6,1
2010,1,3,36.520833333333336,0,1
2010,1,4,14.847826086956522,1,0
2010,1,5,16.520833333333332,2,0
2010,1,6,22.5,3,0
2010,1,7,8.416666666666666,4,0
2010,1,8,14.717391304347826,5,0
2010,1,9,43.854166666666664,6,1
2010,1,10,27.630434782608695,0,1
2010,1,11,7.020833333333333,1,0
2010,1,12,8.043478260869565,2,0
2010,1,13,18.666666666666668,3,0
2010,1,14,32.02173913043478,4,0
2010,1,15,10.25,5,0
2010,1,16,27.916666666666668,6,1
2010,1,17,33.15217391304348,0,1
2010,1,18,30.444444444444443,1,0
2010,1,21,0.07142857142857142,4,0
2010,1,22,12.791666666666666,5,0
2010,1,23,23.76086956521739,6,1
2010,1,24,8.916666666666666,0,1
2010,1,25,8.217391304347826,1,0
2010,1,26,15.520833333333334,2,0
2010,1,27,20.304347826086957,3,0
2010,1,28,30.75,4,0
2010,1,29,40.34782608695652,5,0
2010,1,30,46.9375,6,1
